센터,국사,작년누계,올해누계,누계대비,누계증감율,20230227,20240226,20240226전력대비,20240226전력증감율
경기북부액세스운용센터,고양,1947908.16,1842071.04,-105837.12,-5.43,33774.84,34994.16,1219.32,3.61
경기북부액세스운용센터,능곡(본동),190729.69,161810.67,-28919.02,-15.16,3366.58,2696.89,-669.69,-19.89
경기북부액세스운용센터,일산,910419.93,836588.79,-73831.14,-8.11,16326.9,14230.71,-2096.19,-12.84
경기북부액세스운용센터,의정부(본동),296140.2,287452.08,-8688.12,-2.93,5478.48,5046.36,-432.12,-7.89
경기북부액세스운용센터,포천,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기북부액세스운용센터,파주,235627.3,225185.02,-10442.28,-4.43,4224.29,3918.77,-305.52,-7.23
경기북부액세스운용센터,구리,252625.86,213205.77,-39420.09,-15.6,8760.96,7514.28,-1246.68,-14.23
경기북부액세스운용센터,화성송신소,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기북부액세스운용센터,문산,90857.19,73818.21,-17038.98,-18.75,2502.42,1939.3,-563.12,-22.5
경기북부액세스운용센터,동의정부,500238.28,467516.97,-32721.31,-6.54,9121.55,7900.18,-1221.37,-13.39
경기북부액세스운용센터,동두천,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,정선,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,양양,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,동해,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,동강릉,449097.36,435991.2,-13106.16,-2.92,8195.7,7473.36,-722.34,-8.81
강원액세스운용센터,속초,301522.76,292748.8,-8773.96,-2.91,5380.1,5296.66,-83.44,-1.55
강원액세스운용센터,춘천,363038.85,327257.55,-35781.3,-9.86,12312.09,10737.54,-1574.55,-12.79
강원액세스운용센터,철원,45362.78,67164.41,21801.63,48.06,820.97,1108.89,287.92,35.07
강원액세스운용센터,대화,59238.7,56251.34,-2987.36,-5.04,1046.56,1012.56,-34.0,-3.25
강원액세스운용센터,원주,936474.57,864120.6,-72353.97,-7.73,17299.44,15158.79,-2140.65,-12.37
강원액세스운용센터,서강릉,234121.18,216608.34,-17512.84,-7.48,4156.91,3767.84,-389.07,-9.36
강원액세스운용센터,화천,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,남원주(본동),299219.34,299124.84,-94.5,-0.03,5435.88,5335.38,-100.5,-1.85
서울강북액세스운용센터,행당,1005014.94,958513.74,-46501.2,-4.63,17865.54,16254.6,-1610.94,-9.02
서울강북액세스운용센터,은평,797025.18,758562.42,-38462.76,-4.83,14298.18,13407.78,-890.4,-6.23
서울강북액세스운용센터,도봉,805279.68,749569.59,-55710.09,-6.92,14632.2,12786.3,-1845.9,-12.62
서울강북액세스운용센터,전농,261341.72,227730.96,-33610.76,-12.86,4704.59,4160.54,-544.05,-11.56
서울강북액세스운용센터,성수,550858.74,449123.04,-101735.7,-18.47,9787.92,8667.06,-1120.86,-11.45
서울강북액세스운용센터,아현,1279944.96,1252275.0,-27669.96,-2.16,22892.4,21633.36,-1259.04,-5.5
서울강북액세스운용센터,월곡,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
서울강북액세스운용센터,노원(본동),553668.48,546787.08,-6881.4,-1.24,10229.88,9857.16,-372.72,-3.64
서울강북액세스운용센터,신내,24914.3,20528.0,-4386.3,-17.61,0.0,0.0,0.0,0.0
서울강북액세스운용센터,강북,363526.76,344942.6,-18584.16,-5.11,6546.11,6111.1,-435.01,-6.65
강북/강원코어운용센터,혜화,8661015.36,8540380.08,-120635.28,-1.39,153591.84,146694.24,-6897.6,-4.49
강북/강원ICT기술담당,강원교환국사,90022.61,81485.42,-8537.19,-9.48,1584.3,1639.48,55.18,3.48
