센터,국사,작년누계,올해누계,누계대비,누계증감율,20230303,20240301,20240301전력대비,20240301전력증감율,20230304,20240302,20240302전력대비,20240302전력증감율,20230305,20240303,20240303전력대비,20240303전력증감율
경기북부액세스운용센터,고양,2129838.48,2021262.12,-108576.36,-5.1,33379.74,26098.56,-7281.18,-21.81,26991.0,25662.24,-1328.76,-4.92,26744.4,25990.56,-753.84,-2.82
경기북부액세스운용센터,능곡(본동),210367.15,177556.2,-32810.95,-15.6,3372.03,2552.61,-819.42,-24.3,3195.58,2577.69,-617.89,-19.34,3145.25,2532.68,-612.57,-19.48
경기북부액세스운용센터,일산,1008131.22,919799.73,-88331.49,-8.76,16558.11,13506.03,-3052.08,-18.43,16087.14,13459.68,-2627.46,-16.33,16081.47,13483.8,-2597.67,-16.15
경기북부액세스운용센터,의정부(본동),325385.64,314659.5,-10726.14,-3.3,5333.16,4179.9,-1153.26,-21.62,4360.92,4199.88,-161.04,-3.69,4244.58,4107.6,-136.98,-3.23
경기북부액세스운용센터,포천,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기북부액세스운용센터,파주,260198.84,247359.07,-12839.77,-4.93,4207.31,3532.22,-675.09,-16.05,3960.47,3495.72,-464.75,-11.73,3923.15,3575.93,-347.22,-8.85
경기북부액세스운용센터,구리,301730.04,255721.41,-46008.63,-15.25,8488.35,6747.39,-1740.96,-20.51,7855.65,6890.85,-964.8,-12.28,7668.63,6624.81,-1043.82,-13.61
경기북부액세스운용센터,화성송신소,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기북부액세스운용센터,문산,104643.08,84563.96,-20079.12,-19.19,2414.58,1736.33,-678.25,-28.09,2203.26,1792.1,-411.16,-18.66,2026.23,1593.69,-432.54,-21.35
경기북부액세스운용센터,동의정부,553010.61,512222.89,-40787.72,-7.38,8924.41,7185.48,-1738.93,-19.49,8559.24,7282.67,-1276.57,-14.91,8603.53,7283.65,-1319.88,-15.34
경기북부액세스운용센터,동두천,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,정선,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,양양,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,동해,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,동강릉,496237.02,477679.62,-18557.4,-3.74,8213.28,6578.22,-1635.06,-19.91,7577.22,6771.96,-805.26,-10.63,7434.3,6546.78,-887.52,-11.94
강원액세스운용센터,속초,331046.01,320584.5,-10461.51,-3.16,5152.2,4112.59,-1039.61,-20.18,4518.73,4185.62,-333.11,-7.37,4545.32,4133.86,-411.46,-9.05
강원액세스운용센터,춘천,431016.84,384692.13,-46324.71,-10.75,12074.22,8797.14,-3277.08,-27.14,10481.49,9335.79,-1145.7,-10.93,10283.94,8883.81,-1400.13,-13.61
강원액세스운용센터,철원,50106.93,73519.06,23412.13,46.72,828.48,1024.86,196.38,23.7,755.37,1039.21,283.84,37.58,752.75,996.56,243.81,32.39
강원액세스운용센터,대화,64955.2,62118.17,-2837.03,-4.37,1038.76,923.01,-115.75,-11.14,843.09,942.41,99.32,11.78,831.39,876.0,44.61,5.37
강원액세스운용센터,원주,1030381.29,946552.23,-83829.06,-8.14,16552.71,12706.65,-3846.06,-23.24,14666.58,12883.86,-1782.72,-12.15,14430.6,12489.39,-1941.21,-13.45
강원액세스운용센터,서강릉,257046.6,234684.98,-22361.62,-8.7,4076.6,2457.33,-1619.27,-39.72,3515.97,2413.81,-1102.16,-31.35,3543.41,2406.73,-1136.68,-32.08
강원액세스운용센터,화천,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원액세스운용센터,남원주(본동),325423.74,327020.7,1596.96,0.49,5242.02,4189.98,-1052.04,-20.07,3818.46,4193.64,375.18,9.83,3435.06,4305.72,870.66,25.35
서울강북액세스운용센터,행당,1109385.66,1052940.36,-56445.3,-5.09,17736.48,15144.36,-2592.12,-14.61,17120.52,15166.5,-1954.02,-11.41,17064.42,15314.64,-1749.78,-10.25
서울강북액세스운용센터,은평,877633.86,834169.8,-43464.06,-4.95,14242.44,11832.18,-2410.26,-16.92,12821.88,11985.72,-836.16,-6.52,12460.26,11589.72,-870.54,-6.99
서울강북액세스운용센터,도봉,890586.63,823175.64,-67410.99,-7.57,14487.66,11718.54,-2769.12,-19.11,13970.7,11735.37,-2235.33,-16.0,13987.17,11738.25,-2248.92,-16.08
서울강북액세스운용센터,전농,287050.93,250901.72,-36149.21,-12.59,4679.6,3532.27,-1147.33,-24.52,4019.87,3870.76,-149.11,-3.71,3768.33,3441.7,-326.63,-8.67
서울강북액세스운용센터,성수,605830.14,493799.22,-112030.92,-18.49,9765.0,6670.5,-3094.5,-31.69,8746.68,6981.36,-1765.32,-20.18,8477.22,6738.54,-1738.68,-20.51
서울강북액세스운용센터,아현,1415961.48,1379519.28,-36442.2,-2.57,22809.48,21016.92,-1792.56,-7.86,22725.6,20957.4,-1768.2,-7.78,22674.72,20715.96,-1958.76,-8.64
서울강북액세스운용센터,월곡,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
서울강북액세스운용센터,노원(본동),608815.2,599434.56,-9380.64,-1.54,10393.92,8042.16,-2351.76,-22.63,8131.44,8525.04,393.6,4.84,7503.84,7141.08,-362.76,-4.83
서울강북액세스운용센터,신내,24914.3,20528.0,-4386.3,-17.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
서울강북액세스운용센터,강북,398193.46,376497.97,-21695.49,-5.45,6476.66,4578.21,-1898.45,-29.31,5089.11,4919.1,-170.01,-3.34,4913.41,4451.4,-462.01,-9.4
강북/강원코어운용센터,혜화,9578676.96,9405733.68,-172943.28,-1.81,153098.64,142130.88,-10967.76,-7.16,151758.72,141949.44,-9809.28,-6.46,151875.36,142494.48,-9380.88,-6.18
강북/강원ICT기술담당,강원교환국사,97187.34,88281.01,-8906.33,-9.16,1478.23,824.41,-653.82,-44.23,839.19,770.64,-68.55,-8.17,583.59,863.54,279.95,47.97
